年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2006,Ｊ１,第１節第１日,03/04(土),16:04,Ｇ大阪,1-1,浦和,万博,"20,916",ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第１節第２日,03/05(日),13:00,甲府,0-2,清水,小瀬,"14,277",山梨放送／テレビ静岡（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第１節第２日,03/05(日),13:35,Ｆ東京,2-0,大分,味スタ,"22,531",ＢＳ－ｉ／ＭＸテレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第１節第２日,03/05(日),14:04,磐田,1-1,福岡,静岡,"28,564",Ｊ　ＳＰＯＲＴＳ
2006,Ｊ１,第１節第２日,03/05(日),14:04,名古屋,3-2,Ｃ大阪,瑞穂陸,"17,199",スカイパーフェクＴＶ！／ＮＨＫ名古屋（録）／ＮＨＫ大阪（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第１節第２日,03/05(日),15:00,川崎Ｆ,6-0,新潟,等々力,"17,444",Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第１節第２日,03/05(日),15:03,大宮,4-2,千葉,埼玉,"13,085",テレビ埼玉／ＢＳ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第１節第２日,03/05(日),15:06,広島,3-4,鹿島,広島ビ,"17,564",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第１節第２日,03/05(日),15:35,横浜FM,4-1,京都,日産ス,"23,607",ＢＳ－ｉ／ＫＢＳ京都（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第１日,03/11(土),14:04,浦和,3-1,磐田,埼玉,"56,512",ＴＢＳ（単）／静岡放送／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第１日,03/11(土),15:02,千葉,2-2,甲府,フクアリ,"11,896",スカイパーフェクＴＶ！／千葉テレビ（録）／山梨放送（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第１日,03/11(土),15:04,新潟,2-0,Ｆ東京,新潟ス,"40,266",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第１日,03/11(土),15:04,清水,2-0,名古屋,日本平,"13,054",テレビ静岡／Ｊ　ＳＰＯＲＴＳ
2006,Ｊ１,第２節第１日,03/11(土),16:03,鹿島,0-3,横浜FM,カシマ,"22,454",ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第１日,03/11(土),16:06,京都,2-7,川崎Ｆ,西京極,"7,921",ＮＨＫ大阪／ＢＳ－ｉ／ＫＢＳ京都（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第１日,03/11(土),19:04,福岡,1-1,大宮,博多球,"12,040",ＢＳ／テレビ西日本（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第２日,03/12(日),14:06,大分,1-1,広島,九石ド,"17,043",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第２節第２日,03/12(日),15:06,Ｃ大阪,1-6,Ｇ大阪,長居,"30,561",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),14:03,磐田,1-1,京都,ヤマハ,"10,560",静岡放送／ＫＢＳ京都（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),14:04,Ｆ東京,0-1,清水,味スタ,"19,011",ＢＳ－ｉ／ＭＸテレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),14:05,広島,1-4,浦和,広島ビ,"16,742",ＮＨＫ広島／スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),15:01,大宮,1-2,新潟,埼玉,"9,368",テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),15:04,甲府,1-0,川崎Ｆ,小瀬,"9,082",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),15:33,名古屋,0-0,鹿島,豊田ス,"22,651",名古屋テレビ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),16:04,千葉,2-2,福岡,フクアリ,"8,567",Ｊ　ＳＰＯＲＴＳ
2006,Ｊ１,第３節第１日,03/18(土),16:05,横浜FM,3-1,Ｃ大阪,日産ス,"19,307",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第３節第１日,03/18(土),19:04,Ｇ大阪,1-3,大分,万博,"8,388",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第４節第１日,03/21(火・祝),14:04,鹿島,3-1,甲府,カシマ,"14,815",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第４節第１日,03/21(火・祝),14:04,福岡,0-1,名古屋,博多球,"8,585",ＮＨＫ福岡／ＮＨＫ名古屋／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第４節第１日,03/21(火・祝),15:01,新潟,0-2,磐田,新潟ス,"37,585",新潟テレビ２１／Ｊ　ＳＰＯＲＴＳ（録）
2006,Ｊ１,第４節第１日,03/21(火・祝),15:04,浦和,3-0,Ｃ大阪,埼玉,"43,815",ＢＳ／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
