年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1993,Ｊ１ サントリー,第１節第１日,05/15(土),19:29,Ｖ川崎,1-2,横浜M,国立,"59,626",
1993,Ｊ１ サントリー,第１節第２日,05/16(日),13:05,横浜Ｆ,3-2,清水,三ツ沢,"14,126",
1993,Ｊ１ サントリー,第１節第２日,05/16(日),13:59,広島,2-1,市原,広島ス,"11,875",
1993,Ｊ１ サントリー,第１節第２日,05/16(日),16:00,鹿島,5-0,名古屋,カシマ,"10,898",
1993,Ｊ１ サントリー,第１節第２日,05/16(日),19:04,Ｇ大阪,1-0,浦和,万博,"19,580",
1993,Ｊ１ サントリー,第２節第１日,05/19(水),18:58,清水,1-0,広島,日本平,"9,183",
1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:00,浦和,0-3,名古屋,駒場,"9,259",
1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:00,横浜M,1-0,Ｇ大阪,三ツ沢,"10,332",
1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:01,鹿島,3-2,横浜Ｆ,カシマ,"9,403",
1993,Ｊ１ サントリー,第２節第１日,05/19(水),19:02,市原,2-1,Ｖ川崎,国立,"46,959",
1993,Ｊ１ サントリー,第３節第１日,05/22(土),15:02,名古屋,1-1(PK4-3),横浜M,瑞穂球,"11,267",
1993,Ｊ１ サントリー,第３節第１日,05/22(土),18:31,広島,1-2,Ｖ川崎,広島ビ,"36,863",
1993,Ｊ１ サントリー,第３節第１日,05/22(土),18:35,横浜Ｆ,3-1,浦和,三ツ沢,"7,469",
1993,Ｊ１ サントリー,第３節第１日,05/22(土),19:00,清水,2-1,鹿島,草薙陸,"14,713",
1993,Ｊ１ サントリー,第３節第１日,05/22(土),19:01,Ｇ大阪,0-3,市原,万博,"15,993",
1993,Ｊ１ サントリー,第４節第１日,05/26(水),18:59,Ｇ大阪,1-1(PK6-7),清水,万博,"16,707",
1993,Ｊ１ サントリー,第４節第１日,05/26(水),18:59,広島,1-0,横浜M,広島ス,"12,858",
1993,Ｊ１ サントリー,第４節第１日,05/26(水),19:01,名古屋,1-2,横浜Ｆ,瑞穂球,"12,544",
1993,Ｊ１ サントリー,第４節第１日,05/26(水),19:02,市原,1-0,浦和,国立,"45,033",
1993,Ｊ１ サントリー,第４節第１日,05/26(水),19:02,Ｖ川崎,1-0,鹿島,等々力,"9,816",
1993,Ｊ１ サントリー,第５節第１日,05/29(土),14:01,横浜M,0-5,市原,三ツ沢,"11,152",
