年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),14:01,横浜FM,1-1,浦和,横浜国,"51,052",ＴＢＳ（単）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),15:00,柏,2-1,大分,柏,"8,063",千葉テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),15:04,鹿島,1-1,Ｇ大阪,カシマ,"24,314",ＢＳ－ｉ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),15:35,Ｆ東京,1-0,新潟,味スタ,"35,880",ＮＨＫ新潟／ＢＳ／ＭＸテレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),16:03,神戸,2-1,市原,神戸ウイ,"29,835",スカイパーフェクＴＶ！／ＮＨＫ神戸（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),16:04,Ｃ大阪,1-2,名古屋,長居,"18,542",Ｊ　ＳＰＯＲＴＳ
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),16:05,広島,1-1,清水,広島ビ,"19,072",ＮＨＫ広島／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第１節第１日,03/13(土),19:04,磐田,2-0,東京Ｖ,ヤマハ,"15,088",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),14:00,清水,1-2,鹿島,日本平,"12,215",テレビ静岡／Ｊ　ＳＰＯＲＴＳ
2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),15:04,名古屋,1-3,磐田,豊田ス,"32,406",名古屋テレビ／スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),15:34,Ｇ大阪,1-0,広島,万博,"11,250",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),16:04,大分,2-1,Ｆ東京,大分ス,"19,730",Ｊ　ＳＰＯＲＴＳ／ＭＸテレビ（録）
2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),16:05,新潟,0-0,神戸,新潟ス,"40,029",新潟放送／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第２節第１日,03/20(土・祝),19:05,市原,3-0,横浜FM,市原,"6,813",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第２節第２日,03/21(日),14:04,東京Ｖ,0-1,柏,味スタ,"15,867",ＢＳ－ｉ／日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第２節第２日,03/21(日),15:35,浦和,4-2,Ｃ大阪,埼玉,"43,067",ＢＳ／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第３節第１日,04/03(土),15:04,Ｆ東京,3-2,東京Ｖ,味スタ,"23,136",ＢＳ／ＭＸテレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第３節第１日,04/03(土),15:04,広島,1-3,市原,広島ビ,"8,798",広島ホームテレビ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第３節第１日,04/03(土),16:02,Ｇ大阪,4-0,清水,万博,"8,329",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第３節第１日,04/03(土),16:04,横浜FM,2-1,Ｃ大阪,横浜国,"22,102",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第３節第１日,04/03(土),16:04,磐田,3-1,浦和,ヤマハ,"16,209",静岡放送／Ｊ　ＳＰＯＲＴＳ
2004,Ｊ１ １ｓｔ,第３節第１日,04/03(土),19:04,神戸,0-0,大分,神戸ウイ,"13,269",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第３節第２日,04/04(日),15:04,鹿島,3-2,名古屋,カシマ,"18,781",ＢＳ／ＮＨＫ名古屋（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第３節第２日,04/04(日),15:04,柏,1-2,新潟,柏の葉,"9,728",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第４節第１日,04/10(土),15:00,東京Ｖ,2-2,Ｇ大阪,味スタ,"12,768",スカイパーフェクＴＶ！／日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第４節第１日,04/10(土),15:04,Ｃ大阪,1-2,磐田,長居,"17,376",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第４節第１日,04/10(土),16:00,新潟,1-3,横浜FM,新潟ス,"41,192",ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第４節第１日,04/10(土),16:04,浦和,2-1,神戸,駒場,"20,558",ＢＳ－ｉ／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第４節第１日,04/10(土),16:04,大分,2-1,広島,大分ス,"17,905",ＮＨＫ大分／Ｊ　ＳＰＯＲＴＳ
2004,Ｊ１ １ｓｔ,第４節第１日,04/10(土),19:04,市原,2-1,鹿島,市原,"10,559",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2004,Ｊ１ １ｓｔ,第４節第２日,04/11(日),15:04,清水,0-0,Ｆ東京,日本平,"14,106",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
