年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2010,Ｊ１,第１節第１日,03/06(土),13:03,磐田,0-1,仙台,ヤマハ,"10,440",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／静岡放送
2010,Ｊ１,第１節第１日,03/06(土),13:04,湘南,1-1,山形,平塚,"11,280",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
2010,Ｊ１,第１節第１日,03/06(土),14:01,Ｆ東京,1-0,横浜FM,味スタ,"29,011",スカパー・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）／ＴＯＫＹＯ　ＭＸ（録）
2010,Ｊ１,第１節第１日,03/06(土),14:04,広島,1-1,清水,広島ビ,"16,216",スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ広島／ＮＨＫ静岡
2010,Ｊ１,第１節第１日,03/06(土),16:03,川崎Ｆ,2-1,新潟,等々力,"22,117",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第１節第１日,03/06(土),16:04,鹿島,2-0,浦和,カシマ,"35,251",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＮＨＫ総合
2010,Ｊ１,第１節第１日,03/06(土),19:04,Ｇ大阪,1-2,名古屋,万博,"18,105",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ
2010,Ｊ１,第１節第２日,03/07(日),14:05,神戸,2-0,京都,ホームズ,"19,506",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第１節第２日,03/07(日),15:05,大宮,3-0,Ｃ大阪,ＮＡＣＫ,"8,605",スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ／テレ玉（録）
2010,Ｊ１,第２節第１日,03/13(土),14:03,新潟,1-1,磐田,東北電ス,"28,423",スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／新潟総合テレビ
2010,Ｊ１,第２節第１日,03/13(土),14:04,清水,3-0,山形,アウスタ,"18,517",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ／テレビ静岡
2010,Ｊ１,第２節第１日,03/13(土),14:05,横浜FM,3-0,湘南,日産ス,"32,228",スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ
2010,Ｊ１,第２節第１日,03/13(土),16:04,名古屋,2-3,川崎Ｆ,豊田ス,"25,176",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＮＨＫ総合
2010,Ｊ１,第２節第１日,03/13(土),16:07,仙台,3-1,大宮,ユアスタ,"17,978",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／ＮＨＫ仙台（東北ブロック）
2010,Ｊ１,第２節第２日,03/14(日),13:04,京都,1-1,鹿島,西京極,"15,222",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第２節第２日,03/14(日),14:02,浦和,1-0,Ｆ東京,埼玉,"50,096",スカパー・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）
2010,Ｊ１,第２節第２日,03/14(日),16:04,神戸,1-2,広島,ホームズ,"9,133",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
2010,Ｊ１,第２節第２日,03/14(日),16:06,Ｃ大阪,1-1,Ｇ大阪,長居,"37,860",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第３節第１日,03/20(土),13:03,湘南,1-3,広島,平塚,"8,250",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第３節第１日,03/20(土),13:04,清水,1-0,神戸,アウスタ,"15,367",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／静岡放送
2010,Ｊ１,第３節第１日,03/20(土),13:04,京都,2-1,仙台,西京極,"8,177",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＫＢＳ京都（録）
2010,Ｊ１,第３節第１日,03/20(土),14:05,横浜FM,4-0,川崎Ｆ,日産ス,"35,870",スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ
2010,Ｊ１,第３節第１日,03/20(土),16:00,大宮,0-1,鹿島,ＮＡＣＫ,"11,116",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
2010,Ｊ１,第３節第１日,03/20(土),16:03,Ｇ大阪,0-0,新潟,万博,"16,813",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第３節第１日,03/20(土),19:04,Ｆ東京,0-0,Ｃ大阪,味スタ,"20,143",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ／ＴＯＫＹＯ　ＭＸ（録）
2010,Ｊ１,第３節第２日,03/21(日・祝),13:04,山形,1-1,浦和,ＮＤスタ,"19,021",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第３節第２日,03/21(日・祝),16:03,名古屋,2-0,磐田,瑞穂陸,"12,749",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／名古屋テレビ（録）
2010,Ｊ１,第４節第１日,03/27(土),13:03,湘南,2-0,新潟,平塚,"10,220",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2010,Ｊ１,第４節第１日,03/27(土),13:04,川崎Ｆ,0-0,清水,等々力,"17,716",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ
2010,Ｊ１,第４節第１日,03/27(土),14:03,神戸,1-1,横浜FM,ホームズ,"15,442",スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2010,Ｊ１,第４節第１日,03/27(土),14:05,鹿島,3-1,山形,カシマ,"22,089",スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ
2010,Ｊ１,第４節第１日,03/27(土),16:03,磐田,2-3,京都,ヤマハ,"7,258",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
