年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2011,Ｊ１,第１節第１日,03/05(土),14:02,名古屋,1-1,横浜FM,豊田ス,"27,153",スカパー／ｅ２／スカパー光／ＮＨＫ総合
2011,Ｊ１,第１節第１日,03/05(土),14:02,Ｇ大阪,2-1,Ｃ大阪,万博,"20,055",スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ大阪（近畿ブロック）
2011,Ｊ１,第１節第１日,03/05(土),14:03,甲府,0-1,磐田,中銀スタ,"15,040",スカパー／ｅ２／スカパー光／ＮＨＫ甲府／ＮＨＫ静岡／ひかりＴＶ
2011,Ｊ１,第１節第１日,03/05(土),14:04,広島,0-0,仙台,広島ビ,"18,709",スカパー／ｅ２／スカパー光／ＮＨＫ広島／ＮＨＫ仙台
2011,Ｊ１,第１節第１日,03/05(土),14:04,福岡,0-3,新潟,レベスタ,"10,254",スカパー／ｅ２／スカパー光／テレビ西日本（録）
2011,Ｊ１,第１節第１日,03/05(土),15:04,川崎Ｆ,2-0,山形,等々力,"18,673",スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ
2011,Ｊ１,第１節第１日,03/05(土),19:04,柏,3-0,清水,柏,"10,390",スカパー／ｅ２／スカパー光／ＢＳ／ひかりＴＶ
2011,Ｊ１,第１節第２日,03/06(日),13:05,神戸,1-0,浦和,ホームズ,"19,913",スカパー／ｅ２／スカパー光
2011,Ｊ１,第１節第２日,03/06(日),15:03,鹿島,3-3,大宮,カシマ,"23,262",スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ水戸＊
2011,Ｊ１,第７節第１日,04/23(土),14:04,大宮,0-1,柏,ＮＡＣＫ,"8,441",スカパー／ｅ２／スカパー光
2011,Ｊ１,第７節第１日,04/23(土),14:04,甲府,1-1,神戸,中銀スタ,"6,893",スカパー／ｅ２／スカパー光
2011,Ｊ１,第７節第１日,04/23(土),14:04,清水,1-0,福岡,アウスタ,"11,025",スカパー／ｅ２／スカパー光／静岡放送
2011,Ｊ１,第７節第１日,04/23(土),14:05,鹿島,0-3,横浜FM,国立,"15,688",スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／ＢＳーＴＢＳ（録）
2011,Ｊ１,第７節第１日,04/23(土),14:05,川崎Ｆ,1-2,仙台,等々力,"15,030",スカパー／ｅ２／スカパー光／ＢＳ／ひかりＴＶ
2011,Ｊ１,第７節第２日,04/24(日),13:03,新潟,1-1,磐田,東北電ス,"33,662",スカパー／ｅ２／スカパー光／ひかりＴＶ
2011,Ｊ１,第７節第２日,04/24(日),13:04,山形,0-0,Ｃ大阪,ＮＤスタ,"8,551",スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2011,Ｊ１,第７節第２日,04/24(日),13:05,広島,4-1,Ｇ大阪,広島ビ,"18,788",スカパー／ｅ２／スカパー光
2011,Ｊ１,第７節第２日,04/24(日),14:04,浦和,3-0,名古屋,埼玉,"42,767",スカパー／ｅ２／スカパー光
2011,Ｊ１,第８節第１日,04/29(金・祝),13:03,福岡,1-2,鹿島,レベスタ,"12,147",スカパー／ｅ２／スカパー光
2011,Ｊ１,第８節第１日,04/29(金・祝),14:03,横浜FM,1-1,清水,日産ス,"33,436",スカパー／ｅ２／スカパー光／ひかりＴＶ
2011,Ｊ１,第８節第１日,04/29(金・祝),14:04,仙台,1-0,浦和,ユアスタ,"18,456",スカパー／ｅ２／スカパー光
2011,Ｊ１,第８節第１日,04/29(金・祝),14:05,柏,2-1,甲府,柏,"10,319",スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ（録）
2011,Ｊ１,第８節第１日,04/29(金・祝),14:05,神戸,0-1,大宮,ホームズ,"10,502",スカパー／ｅ２／スカパー光／ＮＨＫ神戸（録）
2011,Ｊ１,第８節第１日,04/29(金・祝),15:04,Ｃ大阪,1-1,新潟,金鳥スタ,"9,014",スカパー／ｅ２／スカパー光／ＢＳ
2011,Ｊ１,第８節第１日,04/29(金・祝),18:03,Ｇ大阪,3-2,山形,万博,"17,052",スカパー／ｅ２／スカパー光
2011,Ｊ１,第８節第１日,04/29(金・祝),19:04,磐田,1-1,広島,ヤマハ,"11,319",スカパー／ｅ２／スカパー光／ひかりＴＶ
2011,Ｊ１,第８節第１日,04/29(金・祝),19:04,名古屋,2-0,川崎Ｆ,瑞穂陸,"14,556",スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2011,Ｊ１,第９節第１日,05/03(火・祝),14:03,仙台,1-0,福岡,ユアスタ,"15,859",スカパー／ｅ２／スカパー光／ＮＨＫ仙台／ＮＨＫ福岡
2011,Ｊ１,第９節第１日,05/03(火・祝),14:03,山形,2-1,柏,ＮＤスタ,"10,414",スカパー／ｅ２／スカパー光／ＢＳ（録）／ＮＨＫ山形
2011,Ｊ１,第９節第１日,05/03(火・祝),14:03,浦和,0-2,横浜FM,埼玉,"47,056",スカパー／ｅ２／スカパー光／ＮＨＫ総合
2011,Ｊ１,第９節第１日,05/03(火・祝),14:03,甲府,1-1,大宮,中銀スタ,"12,056",スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ甲府
2011,Ｊ１,第９節第１日,05/03(火・祝),14:03,新潟,1-0,神戸,東北電ス,"30,610",スカパー／ｅ２／スカパー光／ＮＨＫ新潟／ＮＨＫ神戸
2011,Ｊ１,第９節第１日,05/03(火・祝),14:05,川崎Ｆ,1-0,磐田,等々力,"18,449",スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ
2011,Ｊ１,第９節第１日,05/03(火・祝),15:04,清水,0-1,広島,アウスタ,"18,847",スカパー／ｅ２／スカパー光／静岡放送
2011,Ｊ１,第１０節第１日,05/07(土),13:04,広島,1-1,甲府,広島ビ,"12,481",スカパー／ｅ２／スカパー光／ひかりＴＶ
2011,Ｊ１,第１０節第１日,05/07(土),14:03,横浜FM,3-2,福岡,日産ス,"13,520",スカパー／ｅ２／スカパー光／ひかりＴＶ
2011,Ｊ１,第１０節第１日,05/07(土),14:03,磐田,4-0,山形,ヤマハ,"8,960",スカパー／ｅ２／スカパー光／静岡放送
