年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:04,名古屋,3-3,松本,豊田ス,"33,558",スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ長野／ＮＨＫ岐阜／ＮＨＫ津
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:04,Ｇ大阪,2-2,FC東京,万博,"18,332",スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:04,広島,2-0,甲府,Ｅスタ,"14,671",スカパー！／スカパー！プレミアムサービス／ＮＨＫ広島／ＮＨＫ甲府
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:05,鳥栖,2-1,新潟,ベアスタ,"11,580",スカパー！／スカパー！プレミアムサービス／ＮＨＫ佐賀／ＮＨＫ新潟
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),14:05,仙台,2-0,山形,ユアスタ,"19,375",スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ山形／ＮＨＫ青森／ＮＨＫ岩手／ＮＨＫ秋田／ＮＨＫ福島
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),15:03,横浜FM,1-3,川崎Ｆ,日産ス,"38,123",スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),16:04,神戸,0-1,柏,ノエスタ,"24,027",スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第１節第１日,03/07(土),19:04,湘南,1-3,浦和,ＢＭＷス,"14,446",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2015,Ｊ１ １ｓｔ,第１節第２日,03/08(日),13:04,清水,3-1,鹿島,アイスタ,"19,736",スカパー！／スカパー！プレミアムサービス／テレビ静岡
2015,Ｊ１ １ｓｔ,第２節第１日,03/13(金),19:03,柏,1-1,仙台,柏,"9,082",スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),13:02,新潟,0-0,清水,デンカＳ,"19,537",スカパー！／スカパー！プレミアムサービス／新潟総合テレビ
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),14:03,鹿島,1-2,湘南,カシマ,"17,295",スカパー！／スカパー！プレミアムサービス／ＮＨＫ水戸
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),14:04,甲府,1-0,名古屋,中銀スタ,"11,851",スカパー！／スカパー！プレミアムサービス／ＮＨＫ甲府／ＮＨＫ名古屋／ＮＨＫ岐阜／ＮＨＫ津
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),14:06,FC東京,0-0,横浜FM,味スタ,"30,492",スカパー！／スカパー！プレミアムサービス／ＴＢＳ／ＴＯＫＹＯ　ＭＸ（録）
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),15:04,浦和,1-0,山形,埼玉,"40,802",スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),15:05,川崎Ｆ,2-2,神戸,等々力,"21,689",スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),18:34,鳥栖,1-0,Ｇ大阪,ベアスタ,"17,695",スカパー！／スカパー！プレミアムサービス
2015,Ｊ１ １ｓｔ,第２節第２日,03/14(土),19:04,松本,1-2,広島,松本,"17,091",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
