年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2008,Ｊ１,第１節第１日,03/08(土),13:02,Ｇ大阪,0-0,千葉,万博,"18,093",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2008,Ｊ１,第１節第１日,03/08(土),14:04,Ｆ東京,1-1,神戸,味スタ,"24,390",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＴＯＫＹＯ　ＭＸ
2008,Ｊ１,第１節第１日,03/08(土),14:04,名古屋,1-1,京都,豊田ス,"26,102",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ／ＮＨＫ名古屋
2008,Ｊ１,第１節第１日,03/08(土),14:05,横浜FM,1-0,浦和,日産ス,"61,246",スカパー！・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）
2008,Ｊ１,第１節第１日,03/08(土),15:04,清水,1-2,大分,日本平,"19,054",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／静岡放送
2008,Ｊ１,第１節第１日,03/08(土),16:03,鹿島,4-0,札幌,カシマ,"28,152",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2008,Ｊ１,第１節第２日,03/09(日),14:04,柏,2-0,磐田,柏,"11,210",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
2008,Ｊ１,第１節第２日,03/09(日),14:04,川崎Ｆ,1-1,東京Ｖ,等々力,"21,020",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ総合
2008,Ｊ１,第１節第２日,03/09(日),16:00,大宮,2-0,新潟,ＮＡＣＫ,"12,505",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレ玉（録）
2008,Ｊ１,第２節第１日,03/15(土),13:05,大分,2-0,柏,九石ド,"18,263",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ１,第２節第１日,03/15(土),14:04,浦和,0-2,名古屋,埼玉,"54,482",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ総合
2008,Ｊ１,第２節第１日,03/15(土),15:00,神戸,4-1,川崎Ｆ,ホムスタ,"16,066",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2008,Ｊ１,第２節第１日,03/15(土),15:04,磐田,3-0,Ｇ大阪,エコパ,"25,560",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ／静岡放送
2008,Ｊ１,第２節第１日,03/15(土),16:03,新潟,2-3,Ｆ東京,東北電ス,"35,083",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ１,第２節第１日,03/15(土),16:05,札幌,1-2,横浜FM,札幌ド,"25,225",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）／北海道放送
2008,Ｊ１,第２節第１日,03/15(土),17:03,千葉,1-2,清水,フクアリ,"14,566",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ１,第２節第２日,03/16(日),13:34,京都,2-1,大宮,西京極,"14,982",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／ＫＢＳ京都（録）
2008,Ｊ１,第２節第２日,03/16(日),16:03,東京Ｖ,0-2,鹿島,味スタ,"18,934",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）／日本テレビ（録）
2008,Ｊ１,第３節第１日,03/30(日),13:03,Ｇ大阪,2-1,東京Ｖ,万博,"13,693",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2008,Ｊ１,第３節第１日,03/30(日),13:04,清水,0-0,大宮,日本平,"13,855",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレビ静岡
2008,Ｊ１,第３節第１日,03/30(日),14:04,Ｆ東京,3-3,京都,味スタ,"19,233",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＴＯＫＹＯ　ＭＸ
2008,Ｊ１,第３節第１日,03/30(日),15:05,川崎Ｆ,2-0,千葉,等々力,"17,658",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
2008,Ｊ１,第３節第１日,03/30(日),16:01,柏,1-2,札幌,柏,"10,048",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／千葉テレビ（録）
2008,Ｊ１,第３節第１日,03/30(日),16:03,浦和,3-0,新潟,埼玉,"46,962",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレ玉（録）
2008,Ｊ１,第３節第１日,03/30(日),16:04,鹿島,2-1,横浜FM,カシマ,"22,901",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ
2008,Ｊ１,第３節第１日,03/30(日),19:03,名古屋,2-1,大分,瑞穂陸,"8,764",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／名古屋テレビ（録）
2008,Ｊ１,第３節第１日,03/30(日),19:03,神戸,3-2,磐田,ホムスタ,"10,043",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ１,第４節第１日,04/02(水),19:01,大分,1-2,Ｇ大阪,九石ド,"17,651",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2008,Ｊ１,第４節第１日,04/02(水),19:03,札幌,0-2,川崎Ｆ,札幌ド,"14,377",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ１,第４節第１日,04/02(水),19:03,千葉,1-1,神戸,フクアリ,"8,694",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ１,第４節第１日,04/02(水),19:03,東京Ｖ,1-2,磐田,国立,"9,087",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／日本テレビ（録）
2008,Ｊ１,第４節第１日,04/02(水),19:03,清水,1-2,浦和,日本平,"15,223",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2008,Ｊ１,第４節第１日,04/02(水),19:04,大宮,1-2,名古屋,ＮＡＣＫ,"7,591",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレ玉／Ｊ　ＳＰＯＲＴＳ２
2008,Ｊ１,第４節第１日,04/02(水),19:04,新潟,0-2,鹿島,東北電ス,"22,740",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ
2008,Ｊ１,第４節第１日,04/02(水),19:04,京都,0-1,柏,西京極,"8,192",スカパー！（パーフェクト　チョイス）／ｅ２（サムライ）／ＫＢＳ京都
2008,Ｊ１,第４節第１日,04/02(水),19:05,横浜FM,3-0,Ｆ東京,ニッパ球,"11,670",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
2008,Ｊ１,第５節第１日,04/05(土),13:00,大宮,2-0,大分,ＮＡＣＫ,"6,450",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2008,Ｊ１,第５節第１日,04/05(土),13:04,磐田,1-2,浦和,エコパ,"27,866",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）／静岡放送
2008,Ｊ１,第５節第１日,04/05(土),14:04,鹿島,4-1,千葉,カシマ,"17,257",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
2008,Ｊ１,第５節第１日,04/05(土),14:04,Ｆ東京,1-0,札幌,味スタ,"20,180",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＢＳ／ＴＯＫＹＯ　ＭＸ
