年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2005,Ｊ１,第１節第１日,03/05(土),14:05,浦和,0-1,鹿島,埼玉,"52,789",ＴＢＳ（単）／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第１節第１日,03/05(土),14:05,名古屋,2-2,千葉,瑞穂陸,"17,239",名古屋テレビ／スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第１節第１日,03/05(土),15:05,清水,1-1,広島,日本平,"12,208",ＢＳ－ｉ／テレビ静岡（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第１節第１日,03/05(土),15:05,Ｇ大阪,0-2,大宮,万博,"16,168",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第１節第１日,03/05(土),16:04,横浜FM,0-1,磐田,日産ス,"41,868",ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第１節第１日,03/05(土),16:04,大分,1-2,東京Ｖ,大分ス,"21,630",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ１,第１節第１日,03/05(土),19:04,Ｆ東京,4-0,新潟,味スタ,"28,450",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第１節第２日,03/06(日),15:05,神戸,3-1,Ｃ大阪,神戸ウイ,"23,226",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第１節第２日,03/06(日),15:35,柏,1-1,川崎Ｆ,柏,"11,875",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第１日,03/12(土),15:02,東京Ｖ,0-0,清水,味スタ,"12,687",静岡第一テレビ／日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第１日,03/12(土),15:06,大宮,1-1,神戸,埼玉,"9,926",テレビ埼玉／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第１日,03/12(土),15:34,鹿島,2-2,Ｇ大阪,カシマ,"25,944",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第１日,03/12(土),15:35,川崎Ｆ,3-3,浦和,等々力,"24,332",ＴＢＳ（単）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第１日,03/12(土),16:02,広島,0-0,Ｆ東京,広島ビ,"15,465",ＮＨＫ広島／スカイパーフェクＴＶ！／ＭＸテレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第１日,03/12(土),16:05,Ｃ大阪,2-3,横浜FM,長居,"19,143",ＮＨＫ大阪／Ｊ　ＳＰＯＲＴＳ
2005,Ｊ１,第２節第１日,03/12(土),19:04,千葉,2-2,柏,市原,"6,612",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第２日,03/13(日),14:08,新潟,2-1,大分,新潟ス,"35,337",ＮＨＫ新潟／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第２節第２日,03/13(日),15:34,磐田,0-3,名古屋,ヤマハ,"16,251",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第１日,04/02(土),14:06,横浜FM,4-1,新潟,日産ス,"21,444",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第１日,04/02(土),15:00,名古屋,1-1,広島,豊田ス,"17,153",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第１日,04/02(土),15:01,柏,1-3,鹿島,柏の葉,"12,126",千葉テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第１日,04/02(土),15:04,磐田,1-1,清水,静岡,"37,384",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第１日,04/02(土),16:02,大宮,1-0,Ｃ大阪,大宮,"7,006",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第１日,04/02(土),16:04,神戸,1-2,Ｆ東京,神戸ウイ,"18,868",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ１,第３節第１日,04/02(土),19:04,大分,1-0,浦和,大分ス,"28,847",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第２日,04/03(日),15:04,Ｇ大阪,3-2,川崎Ｆ,万博,"9,925",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第３節第２日,04/03(日),15:05,東京Ｖ,2-2,千葉,味スタ,"11,001",ＢＳ－ｉ／日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第１日,04/09(土),15:03,清水,1-2,柏,日本平,"9,735",テレビ静岡／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第１日,04/09(土),15:04,広島,0-1,鹿島,広島ビ,"12,085",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第１日,04/09(土),15:06,千葉,4-2,大分,市原,"5,352",ＢＳ－ｉ／千葉テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第１日,04/09(土),16:02,Ｃ大阪,1-0,名古屋,長居,"13,040",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第１日,04/09(土),16:03,浦和,1-1,Ｇ大阪,埼玉,"51,249",ＮＨＫ総合／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第１日,04/09(土),16:04,新潟,3-2,大宮,新潟ス,"40,573",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ１,第４節第１日,04/09(土),19:04,川崎Ｆ,1-0,東京Ｖ,等々力,"11,061",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第２日,04/10(日),14:04,Ｆ東京,1-0,磐田,味スタ,"32,049",ＭＸテレビ／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第４節第２日,04/10(日),15:04,横浜FM,1-1,神戸,日産ス,"20,548",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:00,鹿島,2-0,大宮,カシマ,"7,076",ＢＳ－ｉ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:00,東京Ｖ,1-4,広島,味スタ,"3,267",日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:00,磐田,1-3,千葉,ヤマハ,"9,854",静岡放送（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:00,神戸,1-6,川崎Ｆ,神戸ユ,"7,643",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:00,大分,1-2,Ｃ大阪,大分ス,"14,830",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:02,Ｇ大阪,1-1,新潟,万博,"6,646",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:04,柏,0-1,横浜FM,国立,"27,328",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:04,名古屋,1-0,Ｆ東京,瑞穂陸,"6,820",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第５節第１日,04/13(水),19:05,浦和,1-1,清水,駒場,"15,760",テレビ埼玉／ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第１日,04/16(土),15:00,Ｃ大阪,1-1,柏,長居,"9,403",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第１日,04/16(土),15:03,広島,2-0,神戸,広島ビ,"10,431",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第１日,04/16(土),15:04,横浜FM,2-2,Ｇ大阪,日産ス,"23,466",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第１日,04/16(土),15:04,清水,0-1,大分,日本平,"7,931",テレビ静岡／Ｊ　ＳＰＯＲＴＳ
2005,Ｊ１,第６節第１日,04/16(土),15:05,千葉,2-4,鹿島,国立,"16,209",ＢＳ－ｉ／千葉テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第１日,04/16(土),15:35,Ｆ東京,0-2,浦和,味スタ,"40,113",ＴＢＳ（単）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第１日,04/16(土),19:04,新潟,0-1,磐田,新潟ス,"40,387",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第２日,04/17(日),15:04,大宮,2-3,東京Ｖ,大宮,"8,959",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第６節第２日,04/17(日),15:05,川崎Ｆ,0-2,名古屋,等々力,"14,565",ＢＳ－ｉ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第１日,04/23(土),15:01,広島,2-1,川崎Ｆ,広島ビ,"8,574",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第１日,04/23(土),15:04,清水,2-1,千葉,日本平,"9,474",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第１日,04/23(土),15:04,Ｇ大阪,5-3,Ｆ東京,万博,"11,728",Ｊ　ＳＰＯＲＴＳ
2005,Ｊ１,第７節第１日,04/23(土),15:04,大分,2-1,神戸,大分ス,"21,438",ＮＨＫ大分／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第１日,04/23(土),15:05,浦和,1-2,Ｃ大阪,駒場,"18,850",ＢＳ－ｉ／テレビ埼玉（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第１日,04/23(土),16:02,東京Ｖ,2-2,新潟,国立,"11,575",スカイパーフェクＴＶ！／日本テレビ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第１日,04/23(土),19:04,柏,0-2,名古屋,柏,"10,188",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第２日,04/24(日),14:04,横浜FM,1-2,大宮,日産ス,"18,155",ＢＳ－ｉ／テレビ神奈川（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第７節第２日,04/24(日),15:04,鹿島,2-1,磐田,カシマ,"25,128",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:00,新潟,0-0,清水,新潟ス,"40,882",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:00,名古屋,5-4,東京Ｖ,瑞穂陸,"7,850",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:00,Ｃ大阪,1-1,広島,長居,"6,113",Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:03,大宮,3-1,大分,大宮,"5,129",テレビ埼玉／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:03,千葉,3-1,Ｇ大阪,市原,"4,885",スカイパーフェクＴＶ！／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:03,Ｆ東京,0-2,柏,味スタ,"18,089",ＭＸテレビ／ＢＳ－ｉ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:04,川崎Ｆ,2-1,横浜FM,等々力,"12,795",テレビ神奈川／ＢＳ－ｉ／ＴＢＳ（録）／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:04,磐田,2-2,浦和,静岡,"30,865",ＢＳ／Ｊ　ＳＰＯＲＴＳ（録）
2005,Ｊ１,第８節第１日,04/28(木),19:04,神戸,0-2,鹿島,神戸ユ,"9,612",Ｊ　ＳＰＯＲＴＳ
