年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2014,Ｊ１,第１節第１日,03/01(土),14:04,Ｃ大阪,0-1,広島,ヤンマー,"37,079",スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合
2014,Ｊ１,第１節第１日,03/01(土),14:04,名古屋,2-3,清水,豊田ス,"21,657",スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ静岡
2014,Ｊ１,第１節第１日,03/01(土),14:05,鳥栖,5-0,徳島,ベアスタ,"14,296",スカパー！／スカパー！プレミアムサービス／ＮＨＫ徳島／ＮＨＫ佐賀
2014,Ｊ１,第１節第１日,03/01(土),14:05,甲府,0-4,鹿島,国立,"13,809",スカパー！／スカパー！プレミアムサービス／ＮＨＫ甲府／ＮＨＫ水戸
2014,Ｊ１,第１節第１日,03/01(土),14:05,仙台,1-2,新潟,ユアスタ,"15,852",スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台／ＮＨＫ新潟
2014,Ｊ１,第１節第１日,03/01(土),15:03,柏,1-1,Ｆ東京,柏,"14,623",スカパー！／スカパー！プレミアムサービス
2014,Ｊ１,第１節第１日,03/01(土),19:04,Ｇ大阪,0-1,浦和,万博,"18,438",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2014,Ｊ１,第１節第２日,03/02(日),13:04,横浜FM,2-0,大宮,日産ス,"23,166",スカパー！／スカパー！プレミアムサービス
2014,Ｊ１,第１節第２日,03/02(日),16:03,川崎Ｆ,2-2,神戸,等々力,"14,011",スカパー！／スカパー！プレミアムサービス
2014,Ｊ１,第２節第１日,03/08(土),12:34,広島,2-1,川崎Ｆ,Ｅスタ,"16,176",スカパー！／スカパー！プレミアムサービス
2014,Ｊ１,第２節第１日,03/08(土),13:02,新潟,0-2,Ｇ大阪,デンカＳ,"22,931",スカパー！／スカパー！プレミアムサービス／新潟総合テレビ
