年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),14:01,鹿島,1-0,名古屋,国立,"30,794",テレビ朝日（単）
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),14:02,磐田,0-1,柏,磐田,"14,056",ＮＨＫ総合
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),15:01,市原,6-1,京都,市原,"6,331",千葉テレビ（録）／ディレクＴＶ（録）
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),15:03,神戸,1-0,広島,神戸ユ,"4,354",サンテレビ（録）／Ｊ－ＳＰＯＲＴＳ
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),15:06,福岡,2-1,川崎Ｆ,博多球,"10,383",ディレクＴＶ
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),16:03,清水,3-2,Ｃ大阪,日本平,"11,660",静岡放送／ＢＳ
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),19:04,Ｖ川崎,2-1,Ｇ大阪,等々力,"7,287",日本テレビ（録）／ＢＳ
2000,Ｊ１ １ｓｔ,第１節第１日,03/11(土),19:07,横浜FM,0-1,Ｆ東京,横浜国,"21,841",ＴＢＳ（全）
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),14:02,名古屋,0-1,磐田,瑞穂陸,"21,071",テレビ朝日（全）
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),15:00,京都,1-3,Ｃ大阪,西京極,"5,167",ＫＢＳ京都（録）／ディレクＴＶ（録）
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),15:04,Ｆ東京,2-0,福岡,国立,"10,932",東京メトロポリタンテレビ／Ｊ－ＳＰＯＲＴＳ
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),15:04,清水,1-2,横浜FM,日本平,"12,466",テレビ静岡
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),16:01,Ｇ大阪,1-1,神戸,万博,"8,093",スカイパーフェクＴＶ！（録）
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),16:03,広島,1-1,市原,広島ビ,"11,197",テレビ新広島
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),19:03,柏,1-0,Ｖ川崎,柏,"8,662",ディレクＴＶ
2000,Ｊ１ １ｓｔ,第２節第１日,03/18(土),19:04,川崎Ｆ,0-1,鹿島,等々力,"14,285",ＢＳ
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:00,川崎Ｆ,0-1,広島,等々力,"5,024",ディレクＴＶ（録）
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:00,Ｃ大阪,5-2,Ｖ川崎,長居,"6,771",スカイパーフェクＴＶ！（録）
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:04,京都,1-0,Ｇ大阪,西京極,"6,129",ＫＢＳ京都（録）／ＢＳ
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),14:34,清水,2-1,柏,日本平,"11,057",テレビ静岡／ディレクＴＶ
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),15:03,横浜FM,1-3,磐田,横浜国,"23,288",ＴＢＳ（単）
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),15:03,福岡,0-1,鹿島,博多球,"12,622",Ｊ－ＳＰＯＲＴＳ
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),16:04,市原,1-6,神戸,市原,"4,113",ＢＳ
2000,Ｊ１ １ｓｔ,第３節第１日,03/25(土),19:04,Ｆ東京,2-1,名古屋,国立,"14,368",東京メトロポリタンテレビ／ＢＳ
2000,Ｊ１ １ｓｔ,第４節第１日,04/01(土),13:33,Ｖ川崎,0-1,市原,等々力,"4,131",日本テレビ（単）
2000,Ｊ１ １ｓｔ,第４節第１日,04/01(土),14:03,広島,2-0,京都,広島ビ,"7,047",広島ホームテレビ／ＢＳ（録）／スカイパーフェクＴＶ！（録）
2000,Ｊ１ １ｓｔ,第４節第１日,04/01(土),15:00,Ｇ大阪,0-1,清水,万博,"8,400",朝日放送（録）／ディレクＴＶ（録）
