年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),14:03,名古屋,1-0,福岡,瑞穂陸,"18,543",名古屋テレビ／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,浦和,2-1,Ｇ大阪,駒場,"18,639",テレビ埼玉／Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),15:03,Ｃ大阪,2-1,広島,長居,"6,697",ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:03,磐田,3-1,神戸,磐田,"13,349",静岡放送
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,鹿島,4-0,市原,国立,"19,531",ＢＳ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:04,清水,3-1,Ｖ川崎,日本平,"11,169",テレビ静岡／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),16:07,横浜FM,2-0,平塚,横浜国,"36,214",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第１節第１日,03/06(土),19:04,柏,1-0,京都,柏,"9,018",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),14:03,Ｇ大阪,3-2,名古屋,万博,"17,807",ＮＨＫ総合
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,Ｖ川崎,2-0,Ｃ大阪,等々力,"6,045",日本テレビ（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:02,福岡,1-4,柏,博多球,"8,800",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,京都,1-3,横浜FM,西京極,"8,496",ＫＢＳ京都（録）／スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),15:03,神戸,1-2,鹿島,神戸ユ,"7,516",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:04,平塚,0-1,清水,平塚,"6,253",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),16:05,広島,0-1,磐田,広島ビ,"17,263",テレビ新広島
1999,Ｊ１ １ｓｔ,第２節第１日,03/13(土),19:04,市原,0-0,浦和,市原,"8,057",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,名古屋,0-0,市原,瑞穂陸,"11,523",スカイパーフェクＴＶ（録）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,Ｇ大阪,3-2,福岡,万博,"3,253",ディレクＴＶ
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:03,Ｃ大阪,1-2,平塚,長居,"3,964",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),15:04,清水,1-0,京都,日本平,"8,237",テレビ静岡／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),16:00,鹿島,1-0,広島,国立,"9,478",ＢＳ（録）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),16:03,磐田,3-0,Ｖ川崎,磐田,"9,078",静岡放送／ＢＳ（生）
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),18:33,浦和,0-0,神戸,駒場,"15,291",テレビ埼玉
1999,Ｊ１ １ｓｔ,第３節第１日,03/20(土),19:04,横浜FM,0-1,柏,横浜国,"12,456",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),13:05,柏,1-2,清水,柏,"9,231",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:00,市原,3-2,Ｇ大阪,市原,"4,017",千葉テレビ（録）／ディレクＴＶ（録）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:02,Ｖ川崎,2-1,鹿島,国立,"18,653",日本テレビ（全）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:03,神戸,0-2,名古屋,神戸ユ,"6,595",Ｊ－ＳＰＯＲＴＳ
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:03,広島,4-1,浦和,広島ビ,"8,163",広島テレビ／ＢＳ（録）／ディレクＴＶ
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),15:05,福岡,2-1,横浜FM,博多球,"10,053",ＢＳ（生）
1999,Ｊ１ １ｓｔ,第４節第１日,03/27(土),17:05,京都,0-1,Ｃ大阪,西京極,"3,441",ＫＢＳ京都（録）／ＢＳ（生）
