年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1996,Ｊ１,第１節第１日,03/16(土),14:03,Ｖ川崎,1-0,京都,等々力,"12,835",
1996,Ｊ１,第１節第１日,03/16(土),15:03,浦和,2-1,柏,駒場,"20,124",
1996,Ｊ１,第１節第１日,03/16(土),15:03,名古屋,4-1,平塚,瑞穂陸,"22,021",
1996,Ｊ１,第１節第１日,03/16(土),15:03,Ｃ大阪,0-2,横浜Ｆ,長居２,"8,087",
1996,Ｊ１,第１節第１日,03/16(土),15:04,鹿島,4-1,清水,カシマ,"15,922",
1996,Ｊ１,第１節第１日,03/16(土),16:04,磐田,3-0,福岡,磐田,"13,439",
1996,Ｊ１,第１節第１日,03/16(土),17:04,市原,0-1,広島,市原,"10,722",
1996,Ｊ１,第１節第１日,03/16(土),19:05,横浜M,1-2,Ｇ大阪,三ツ沢,"11,728",
1996,Ｊ１,第２節第１日,03/20(水・祝),14:00,福岡,1-2,浦和,博多球,"17,323",
1996,Ｊ１,第２節第１日,03/20(水・祝),15:00,平塚,0-4,Ｖ川崎,平塚,"12,716",
1996,Ｊ１,第２節第１日,03/20(水・祝),15:00,清水,2-1,Ｃ大阪,日本平,"16,413",
1996,Ｊ１,第２節第１日,03/20(水・祝),15:00,Ｇ大阪,0-1,横浜Ｆ,万博,"9,739",
1996,Ｊ１,第２節第１日,03/20(水・祝),15:03,横浜M,0-1,磐田,三ツ沢,"12,840",
1996,Ｊ１,第２節第１日,03/20(水・祝),15:04,柏,2-3,名古屋,国立,"25,948",
1996,Ｊ１,第２節第１日,03/20(水・祝),15:04,京都,0-2,市原,西京極,"8,318",
1996,Ｊ１,第２節第１日,03/20(水・祝),16:05,広島,1-2,鹿島,広島ビ,"18,863",
1996,Ｊ１,第３節第１日,03/23(土),14:04,磐田,2-0,Ｇ大阪,磐田,"11,927",
1996,Ｊ１,第３節第１日,03/23(土),15:00,鹿島,5-1,京都,カシマ,"15,224",
1996,Ｊ１,第３節第１日,03/23(土),15:01,市原,0-2,平塚,市原,"10,293",
1996,Ｊ１,第３節第１日,03/23(土),15:01,Ｃ大阪,1-2,広島,長居２,"6,276",
1996,Ｊ１,第３節第１日,03/23(土),15:03,Ｖ川崎,2-3,柏,等々力,"11,599",
1996,Ｊ１,第３節第１日,03/23(土),15:03,横浜Ｆ,1-0,清水,三ツ沢,"10,296",
1996,Ｊ１,第３節第１日,03/23(土),19:02,名古屋,3-1,福岡,瑞穂陸,"20,793",
1996,Ｊ１,第３節第１日,03/23(土),19:03,浦和,2-0,横浜M,国立,"49,094",
1996,Ｊ１,第４節第１日,03/30(土),14:02,磐田,1-1(PK3-4),浦和,磐田,"12,730",
1996,Ｊ１,第４節第１日,03/30(土),15:00,平塚,1-0,鹿島,国立,"23,748",
1996,Ｊ１,第４節第１日,03/30(土),15:00,Ｇ大阪,2-2(PK4-3),清水,万博,"5,674",
1996,Ｊ１,第４節第１日,03/30(土),15:01,柏,0-2,市原,柏,"10,272",
1996,Ｊ１,第４節第１日,03/30(土),15:03,京都,0-2,Ｃ大阪,西京極,"5,231",
1996,Ｊ１,第４節第１日,03/30(土),15:04,広島,0-1,横浜Ｆ,広島ビ,"7,105",
1996,Ｊ１,第４節第１日,03/30(土),15:05,横浜M,0-1,名古屋,三ツ沢,"12,013",
1996,Ｊ１,第４節第１日,03/30(土),19:00,福岡,1-2,Ｖ川崎,博多球,"16,328",
