年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),12:03,名古屋,2-3,神戸,瑞穂陸,"19,181",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),14:06,平塚,4-1,Ｖ川崎,平塚,"13,254",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),15:00,鹿島,4-2,福岡,カシマ,"15,306",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),15:03,柏,0-1,広島,柏,"8,412",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),15:04,清水,4-1,札幌,日本平,"12,436",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),16:03,磐田,2-0,京都,磐田,"15,574",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),19:03,横浜M,1-2,横浜Ｆ,横浜国,"52,083",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),19:03,Ｇ大阪,1-2,Ｃ大阪,万博,"15,193",
1998,Ｊ１ １ｓｔ,第１節第１日,03/21(土・祝),19:04,浦和,3-2,市原,駒場,"19,828",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:02,札幌,1-3,鹿島,仙台,"14,682",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:03,市原,1-2,名古屋,市原,"6,048",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:03,Ｖ川崎,1-0,磐田,国立,"27,680",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:03,横浜Ｆ,0-2,浦和,横浜国,"24,310",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:03,広島,0-1,Ｇ大阪,広島ス,"10,457",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:04,京都,1-0,清水,西京極,"9,719",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:04,神戸,1-2,平塚,神戸ユ,"12,070",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:04,福岡,0-0(PK3-4),柏,博多球,"12,470",
1998,Ｊ１ １ｓｔ,第２節第１日,03/25(水),19:06,Ｃ大阪,4-3,横浜M,長居,"10,534",
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),14:04,名古屋,2-1,横浜Ｆ,瑞穂陸,"12,032",
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),15:03,磐田,4-3,神戸,磐田,"11,599",
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),15:03,Ｇ大阪,3-2,福岡,万博,"5,121",
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),15:04,柏,1-1(PK5-4),札幌,柏,"6,340",
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),15:04,京都,0-2,Ｖ川崎,西京極,"10,772",
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),15:05,横浜M,4-0,広島,三ツ沢,"8,043",
1998,Ｊ１ １ｓｔ,第３節第１日,03/28(土),15:05,平塚,0-1,市原,平塚,"7,199",
