年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2001,Ｊ１ １ｓｔ,第１節第１日,03/10(土),14:01,Ｃ大阪,1-2,札幌,長居,"11,359",ＢＳ（録）
2001,Ｊ１ １ｓｔ,第１節第１日,03/10(土),14:02,名古屋,2-0,浦和,瑞穂球,"12,274",ＮＨＫ総合
2001,Ｊ１ １ｓｔ,第１節第１日,03/10(土),14:03,磐田,4-1,市原,磐田,"15,246",静岡放送／スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第１節第１日,03/10(土),15:03,福岡,2-0,Ｇ大阪,博多球,"13,125",Ｊスカイスポーツ／ＢＳ－ｉ（録）
2001,Ｊ１ １ｓｔ,第１節第１日,03/10(土),16:05,横浜FM,0-1,神戸,横浜国,"25,341",テレビ神奈川（録）／ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第１節第１日,03/10(土),17:04,Ｆ東京,2-1,東京Ｖ,東京,"44,030",ＢＳ／東京メトロポリタンテレビ
2001,Ｊ１ １ｓｔ,第１節第１日,03/10(土),19:04,柏,2-1,清水,柏,"13,272",ＢＳ／千葉テレビ
2001,Ｊ１ １ｓｔ,第１節第２日,03/11(日),14:00,鹿島,2-1,広島,国立,"17,385",ＴＢＳ（単）
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),14:00,札幌,2-1,柏,高知陸,"6,276",ＢＳ（録）／高知放送
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),15:03,市原,1-2,名古屋,市原,"7,555",千葉テレビ（録）／スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),15:03,東京Ｖ,2-1,鹿島,東京,"30,930",日本テレビ（録）
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),15:03,清水,1-0,福岡,日本平,"11,093",テレビ静岡／スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),15:04,浦和,2-2,Ｃ大阪,駒場,"19,183",テレビ埼玉／Ｊスカイスポーツ／ＢＳ－ｉ（録）
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),16:05,神戸,2-0,Ｆ東京,神戸ユ,"10,070",ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),16:05,広島,1-4,磐田,広島ビ,"10,663",ＢＳ
2001,Ｊ１ １ｓｔ,第２節第１日,03/17(土),19:04,Ｇ大阪,3-2,横浜FM,万博,"14,576",ＢＳ
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),13:38,東京Ｖ,1-2,清水,東京,"17,099",日本テレビ（単）
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),14:04,Ｃ大阪,0-0,鹿島,長居,"14,790",ＢＳ
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),14:35,名古屋,1-1,横浜FM,瑞穂陸,"22,367",中部日本放送／ＢＳ－ｉ（録）
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),15:03,神戸,0-1,Ｇ大阪,神戸ユ,"17,932",サンテレビ（録）／Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),15:04,広島,1-0,札幌,広島ビ,"6,694",広島ホームテレビ／スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),15:33,磐田,1-0,Ｆ東京,磐田,"13,753",ＴＢＳ（単）／ＢＳ－ｉ（録）
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),16:05,市原,2-3,柏,市原,"4,307",ＢＳ／千葉テレビ（録）
2001,Ｊ１ １ｓｔ,第３節第１日,03/31(土),19:04,浦和,2-0,福岡,駒場,"17,631",ＢＳ／テレビ埼玉
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),14:04,札幌,2-0,東京Ｖ,室蘭,"9,289",ＢＳ（録）／ＮＨＫ札幌
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),15:01,福岡,2-3,市原,博多球,"10,307",スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),15:03,Ｇ大阪,2-1,Ｃ大阪,万博,"16,003",朝日放送（録）／Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),15:04,鹿島,1-2,磐田,国立,"35,221",ＮＨＫ総合
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),15:04,清水,1-0,神戸,日本平,"10,775",テレビ静岡／ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),18:33,Ｆ東京,0-1,名古屋,東京,"27,392",東京メトロポリタンテレビ
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),19:03,柏,2-1,広島,柏,"9,341",千葉テレビ／スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第４節第１日,04/07(土),19:04,横浜FM,0-1,浦和,横浜国,"30,759",ＢＳ
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),14:00,市原,2-0,横浜FM,秋田,"8,260",秋田放送／スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),15:01,東京Ｖ,1-0,柏,東京,"18,164",日本テレビ（録）
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),15:03,広島,2-3,福岡,広島ス,"5,161",広島テレビ／スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),15:04,Ｇ大阪,0-1,清水,万博,"8,732",ＮＨＫ総合
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),16:03,磐田,3-2,Ｃ大阪,磐田,"10,576",ＢＳ（録）／Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),17:04,神戸,0-0,札幌,神戸ユ,"11,742",ＢＳ
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),18:35,浦和,1-3,Ｆ東京,駒場,"19,967",テレビ埼玉／ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第５節第１日,04/14(土),19:04,名古屋,2-1,鹿島,瑞穂陸,"21,361",ＢＳ
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),13:02,札幌,1-0,Ｇ大阪,函館,"15,288",札幌テレビ／スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),14:04,磐田,3-0,名古屋,磐田,"17,009",ＢＳ
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),15:01,福岡,1-0,東京Ｖ,博多球,"14,153",スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),15:04,横浜FM,2-1,広島,横浜国,"15,029",ＢＳ－ｉ（録）
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),15:04,Ｃ大阪,2-1,清水,長居,"11,433",Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),16:04,鹿島,2-1,浦和,国立,"43,637",ＢＳ
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),18:30,Ｆ東京,0-3,市原,東京,"17,543",テレビ東京（録）
2001,Ｊ１ １ｓｔ,第６節第１日,04/29(日・祝),19:04,柏,5-1,神戸,柏,"13,144",ＢＳ
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),14:03,名古屋,3-1,Ｃ大阪,瑞穂陸,"18,365",名古屋テレビ／Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),14:04,Ｇ大阪,3-2,柏,万博,"12,213",ＢＳ
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),15:03,神戸,2-1,福岡,神戸ユ,"14,047",スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),15:04,市原,2-0,鹿島,市原,"8,303",千葉テレビ
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),15:04,広島,3-0,Ｆ東京,広島ビ,"13,987",スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),16:01,清水,5-2,札幌,日本平,"18,664",ＢＳ／テレビ静岡
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),16:03,東京Ｖ,2-3,横浜FM,東京,"27,930",ＴＢＳ（録）／ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第７節第１日,05/03(木・祝),19:04,浦和,0-2,磐田,国立,"53,125",ＢＳ／テレビ埼玉
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),13:04,Ｆ東京,2-1,札幌,丸亀,"6,142",東京メトロポリタンテレビ／Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),14:00,名古屋,0-2,神戸,瑞穂陸,"21,265",スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),14:04,磐田,2-0,Ｇ大阪,磐田,"15,869",ＢＳ
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),14:05,横浜FM,0-2,柏,横浜国,"24,657",テレビ朝日（単）
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),15:04,市原,1-3,広島,市原,"8,015",千葉テレビ（録）／スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),15:05,Ｃ大阪,3-0,福岡,長居,"10,622",ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),16:04,鹿島,3-4,清水,国立,"19,740",ＢＳ
2001,Ｊ１ １ｓｔ,第８節第１日,05/06(日),19:04,浦和,4-2,東京Ｖ,駒場,"18,759",ＢＳ／テレビ埼玉
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),14:06,札幌,2-1,鹿島,札幌厚別,"19,920",ＢＳ／北海道テレビ
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),15:01,東京Ｖ,1-2,市原,東京,"12,366",日本テレビ（録）
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),15:02,Ｇ大阪,2-3,名古屋,万博,"21,285",毎日放送（録）／スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),15:03,清水,1-0,磐田,静岡,"52,959",ＴＢＳ（単）
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),15:03,神戸,1-2,浦和,神戸ユ,"16,392",Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),16:04,広島,3-2,Ｃ大阪,広島ス,"6,874",ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),16:04,福岡,1-0,横浜FM,博多球,"16,402",ＢＳ／九州朝日放送（録）
2001,Ｊ１ １ｓｔ,第９節第１日,05/12(土),19:04,柏,0-2,Ｆ東京,柏,"12,291",ＢＳ
2001,Ｊ１ １ｓｔ,第１０節第１日,05/19(土),15:04,磐田,2-1,札幌,磐田,"12,979",静岡放送／Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第１０節第１日,05/19(土),15:05,広島,3-2,東京Ｖ,広島ス,"7,061",ＢＳ（録）／中国放送
2001,Ｊ１ １ｓｔ,第１０節第１日,05/19(土),16:00,市原,4-1,神戸,市原,"5,923",千葉テレビ／スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第１０節第１日,05/19(土),16:03,Ｃ大阪,0-2,横浜FM,長居,"16,607",スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第１０節第１日,05/19(土),16:04,鹿島,3-2,柏,カシマ,"36,365",ＢＳ／フジテレビ（録）
2001,Ｊ１ １ｓｔ,第１０節第１日,05/19(土),18:34,Ｆ東京,1-2,福岡,東京,"13,792",東京メトロポリタンテレビ（録）／ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第１０節第１日,05/19(土),19:04,浦和,1-2,Ｇ大阪,駒場,"19,186",ＢＳ／テレビ埼玉
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),14:04,札幌,2-2,名古屋,札幌厚別,"19,525",北海道放送／Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),15:03,神戸,1-0,広島,神戸ユ,"9,168",スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),15:04,柏,0-1,磐田,柏の葉,"17,788",ＮＨＫ総合
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),15:04,横浜FM,0-2,Ｆ東京,横浜国,"14,600",ＢＳ（録）／テレビ神奈川（録）
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),16:04,清水,1-0,浦和,日本平,"17,817",テレビ静岡／ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),19:00,Ｇ大阪,3-4,市原,万博,"7,104",スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),19:01,東京Ｖ,2-1,Ｃ大阪,東京,"10,924",日本テレビ（録）
2001,Ｊ１ １ｓｔ,第１１節第１日,06/16(土),19:04,福岡,0-2,鹿島,博多球,"18,241",ＢＳ／ＲＫＢ毎日放送（録）
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),15:33,磐田,2-1,福岡,磐田,"13,046",静岡放送／ＢＳ
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),19:01,東京Ｖ,1-0,神戸,東京,"13,797",日本テレビ（録）
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),19:01,広島,2-3,Ｇ大阪,広島ビ,"6,619",スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),19:02,名古屋,1-4,柏,瑞穂陸,"19,805",ＢＳ（録）
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),19:03,鹿島,2-0,横浜FM,カシマ,"24,218",Ｊスカイスポーツ
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),19:04,浦和,2-0,札幌,駒場,"19,277",テレビ埼玉／ＢＳ－ｉ
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),19:04,Ｃ大阪,1-2,Ｆ東京,長居,"8,538",読売テレビ（録）／スカイパーフェクＴＶ！
2001,Ｊ１ １ｓｔ,第１２節第１日,06/23(土),19:05,市原,2-0,清水,市原,"8,152",千葉テレビ／ＢＳ
2001,Ｊ１ １ｓｔ,第１３節第１日,07/07(土),14:04,札幌,2-3,市原,札幌厚別,"16,728",北海道文化放送
2001,Ｊ１ １ｓｔ,第１３節第１日,07/07(土),15:34,清水,5-1,広島,日本平,"10,372",テレビ静岡／ＢＳ
2001,Ｊ１ １ｓｔ,第１３節第１日,07/07(土),19:00,Ｇ大阪,5-0,東京Ｖ,万博,"9,149",読売テレビ（録）
2001,Ｊ１ １ｓｔ,第１３節第１日,07/07(土),19:00,神戸,3-1,Ｃ大阪,神戸ユ,"12,022",スカイパーフェクＴＶ！（録）
2001,Ｊ１ １ｓｔ,第１３節第１日,07/07(土),19:04,柏,3-2,浦和,国立,"32,215",千葉テレビ
2001,Ｊ１ １ｓｔ,第１３節第１日,07/07(土),19:04,Ｆ東京,2-0,鹿島,東京,"48,521",東京メトロポリタンテレビ／スカイパーフェクＴＶ！
