年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2017,Ｊ１,第１節第１日,02/25(土),12:35,横浜FM,3-2,浦和,日産ス,"39,284",ＤＡＺＮ／テレビ神奈川／テレ玉
2017,Ｊ１,第１節第１日,02/25(土),14:04,清水,0-1,神戸,アイスタ,"17,861",ＤＡＺＮ／ＮＨＫ　ＢＳ１／テレビ静岡
2017,Ｊ１,第１節第１日,02/25(土),14:04,鹿島,0-1,FC東京,カシマ,"28,240",ＤＡＺＮ／ＮＨＫ総合
2017,Ｊ１,第１節第１日,02/25(土),14:04,仙台,1-0,札幌,ユアスタ,"17,230",ＤＡＺＮ／ＮＨＫ仙台／ＮＨＫ札幌
2017,Ｊ１,第１節第１日,02/25(土),14:04,広島,1-1,新潟,Ｅスタ,"17,545",ＤＡＺＮ／ＮＨＫ広島／ＮＨＫ新潟
2017,Ｊ１,第１節第１日,02/25(土),14:05,鳥栖,1-3,柏,ベアスタ,"14,355",ＤＡＺＮ／ＮＨＫ佐賀
2017,Ｊ１,第１節第１日,02/25(土),15:03,Ｃ大阪,0-0,磐田,ヤンマー,"33,208",ＤＡＺＮ
2017,Ｊ１,第１節第１日,02/25(土),16:03,大宮,0-2,川崎Ｆ,ＮＡＣＫ,"11,962",ＤＡＺＮ／テレ玉
2017,Ｊ１,第１節第２日,02/26(日),17:03,Ｇ大阪,1-1,甲府,吹田Ｓ,"21,284",ＤＡＺＮ
2017,Ｊ１,第２節第１日,03/04(土),14:01,浦和,3-1,Ｃ大阪,埼玉,"43,826",ＤＡＺＮ／ＮＨＫ総合
2017,Ｊ１,第２節第１日,03/04(土),14:04,甲府,0-1,鹿島,中銀スタ,"13,199",ＤＡＺＮ／山梨放送
2017,Ｊ１,第２節第１日,03/04(土),14:04,広島,0-1,清水,Ｅスタ,"13,489",ＤＡＺＮ／ＮＨＫ広島／ＮＨＫ静岡
2017,Ｊ１,第２節第１日,03/04(土),15:03,磐田,0-1,仙台,ヤマハ,"14,554",ＤＡＺＮ／静岡放送
2017,Ｊ１,第２節第１日,03/04(土),15:04,FC東京,2-0,大宮,味スタ,"27,259",ＤＡＺＮ／ＴＯＫＹＯ　ＭＸ２
2017,Ｊ１,第２節第１日,03/04(土),16:03,神戸,2-1,新潟,ノエスタ,"25,278",ＤＡＺＮ／サンテレビ
2017,Ｊ１,第２節第１日,03/04(土),19:03,横浜FM,3-0,札幌,ニッパツ,"12,740",ＤＡＺＮ／ＮＨＫ　ＢＳ１
2017,Ｊ１,第２節第２日,03/05(日),15:03,柏,1-3,Ｇ大阪,柏,"13,649",ＤＡＺＮ
2017,Ｊ１,第２節第２日,03/05(日),17:03,川崎Ｆ,1-1,鳥栖,等々力,"22,705",ＤＡＺＮ
2017,Ｊ１,第３節第１日,03/10(金),19:03,鹿島,1-0,横浜FM,カシマ,"12,537",ＤＡＺＮ
2017,Ｊ１,第３節第１日,03/10(金),19:03,川崎Ｆ,2-1,柏,等々力,"18,608",ＤＡＺＮ
2017,Ｊ１,第３節第１日,03/10(金),19:33,浦和,4-1,甲府,埼玉,"22,711",ＤＡＺＮ／テレ玉
2017,Ｊ１,第３節第２日,03/11(土),15:04,大宮,1-2,磐田,ＮＡＣＫ,"11,943",ＤＡＺＮ／テレ玉
2017,Ｊ１,第３節第２日,03/11(土),15:05,鳥栖,1-0,広島,ベアスタ,"13,004",ＤＡＺＮ
2017,Ｊ１,第３節第２日,03/11(土),15:06,札幌,1-1,Ｃ大阪,札幌ド,"21,760",ＤＡＺＮ／札幌テレビ放送
2017,Ｊ１,第３節第２日,03/11(土),15:35,新潟,0-2,清水,デンカＳ,"31,014",ＤＡＺＮ／新潟総合テレビ
2017,Ｊ１,第３節第２日,03/11(土),16:05,仙台,0-2,神戸,ユアスタ,"14,369",ＤＡＺＮ／サンテレビ
2017,Ｊ１,第３節第２日,03/11(土),19:03,Ｇ大阪,3-0,FC東京,吹田Ｓ,"24,292",ＤＡＺＮ／ＮＨＫ　ＢＳ１
2017,Ｊ１,第４節第１日,03/18(土),14:03,清水,2-3,鹿島,アイスタ,"16,951",ＤＡＺＮ／静岡放送
2017,Ｊ１,第４節第１日,03/18(土),14:03,横浜FM,1-1,新潟,日産ス,"20,191",ＤＡＺＮ
