年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2007,Ｊ１,第１節第１日,03/03(土),14:03,Ｆ東京,2-4,広島,味スタ,"25,257",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＴＯＫＹＯ　ＭＸ（録）
2007,Ｊ１,第１節第１日,03/03(土),14:05,横浜FM,1-0,甲府,日産ス,"24,466",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
2007,Ｊ１,第１節第１日,03/03(土),14:05,大分,1-1,新潟,九石ド,"20,039",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ大分／ＮＨＫ新潟
2007,Ｊ１,第１節第１日,03/03(土),15:00,川崎Ｆ,1-0,鹿島,等々力,"20,295",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第１節第１日,03/03(土),15:03,清水,1-0,神戸,日本平,"18,333",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／静岡放送
2007,Ｊ１,第１節第１日,03/03(土),16:03,浦和,2-1,横浜FC,埼玉,"57,188",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ総合／テレ玉（録）
2007,Ｊ１,第１節第１日,03/03(土),19:04,Ｇ大阪,1-0,大宮,万博,"18,355",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＢＳ
2007,Ｊ１,第１節第２日,03/04(日),16:00,柏,4-0,磐田,柏,"10,960",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第１節第２日,03/04(日),16:04,名古屋,2-0,千葉,瑞穂陸,"18,410",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ名古屋
2007,Ｊ１,第２節第１日,03/10(土),14:04,甲府,0-2,名古屋,小瀬,"11,791",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ甲府
2007,Ｊ１,第２節第１日,03/10(土),14:04,広島,1-1,柏,広島ビ,"12,891",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ広島
2007,Ｊ１,第２節第１日,03/10(土),15:04,磐田,2-1,大分,ヤマハ,"11,452",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／静岡放送
2007,Ｊ１,第２節第１日,03/10(土),16:05,大宮,0-2,Ｆ東京,埼玉,"17,023",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／テレ玉（録）
2007,Ｊ１,第２節第１日,03/10(土),19:03,横浜FC,1-0,横浜FM,三ツ沢,"13,737",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第２節第１日,03/10(土),19:04,千葉,1-3,清水,フクアリ,"15,373",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＢＳ
2007,Ｊ１,第２節第２日,03/11(日),14:03,鹿島,0-1,Ｇ大阪,カシマ,"18,406",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＮＨＫ総合
2007,Ｊ１,第２節第２日,03/11(日),16:01,新潟,2-2,浦和,東北電ス,"40,524",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第２節第２日,03/11(日),16:03,神戸,1-1,川崎Ｆ,ホムスタ,"14,664",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第３節第１日,03/17(土),13:04,大分,3-1,大宮,九石ド,"16,870",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第３節第１日,03/17(土),14:02,浦和,2-0,甲府,埼玉,"39,494",スカパー！・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）／テレ玉（録）
2007,Ｊ１,第３節第１日,03/17(土),15:04,清水,0-1,柏,日本平,"11,460",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／テレビ静岡
2007,Ｊ１,第３節第１日,03/17(土),16:03,千葉,3-3,鹿島,フクアリ,"14,814",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第３節第１日,03/17(土),16:05,横浜FM,1-4,神戸,日産ス,"16,657",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
2007,Ｊ１,第３節第１日,03/17(土),19:03,Ｇ大阪,3-0,広島,万博,"14,123",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第３節第１日,03/17(土),19:05,川崎Ｆ,6-0,横浜FC,等々力,"18,621",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＢＳ
2007,Ｊ１,第３節第２日,03/18(日),14:03,名古屋,2-0,新潟,瑞穂陸,"11,620",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／名古屋テレビ（録）
2007,Ｊ１,第３節第２日,03/18(日),16:03,Ｆ東京,0-1,磐田,味スタ,"27,046",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第４節第１日,03/31(土),14:00,新潟,2-0,川崎Ｆ,東北電ス,"31,500",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2007,Ｊ１,第４節第１日,03/31(土),14:04,甲府,1-2,Ｇ大阪,小瀬,"13,064",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／山梨放送
2007,Ｊ１,第４節第１日,03/31(土),14:04,磐田,1-0,千葉,ヤマハ,"12,379",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／静岡放送
2007,Ｊ１,第４節第１日,03/31(土),16:00,大宮,1-2,清水,駒場,"7,737",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第４節第１日,03/31(土),18:05,広島,1-3,横浜FM,広島ビ,"9,337",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
2007,Ｊ１,第４節第１日,03/31(土),19:04,柏,2-0,Ｆ東京,柏,"10,793",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第４節第１日,03/31(土),19:04,神戸,1-1,鹿島,ホムスタ,"10,518",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＢＳ
2007,Ｊ１,第４節第２日,04/01(日),14:00,横浜FC,1-2,名古屋,三ツ沢,"10,225",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2007,Ｊ１,第４節第２日,04/01(日),16:04,大分,2-2,浦和,九石ド,"27,163",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第５節第１日,04/07(土),13:01,甲府,4-3,神戸,小瀬,"8,373",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2007,Ｊ１,第５節第１日,04/07(土),14:03,名古屋,2-3,広島,豊田ス,"16,825",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第５節第１日,04/07(土),14:03,Ｇ大阪,2-2,川崎Ｆ,万博,"18,587",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第５節第１日,04/07(土),14:04,Ｆ東京,1-3,新潟,味スタ,"21,092",スカパー！・ｅ２（ＴＢＳチャンネル）／ＴＯＫＹＯ　ＭＸ／ＢＳ－ｉ
2007,Ｊ１,第５節第１日,04/07(土),16:00,鹿島,0-0,大宮,カシマ,"10,234",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第５節第１日,04/07(土),16:00,横浜FM,0-2,柏,日産ス,"18,960",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2007,Ｊ１,第５節第１日,04/07(土),19:04,浦和,2-1,磐田,埼玉,"45,025",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／テレ玉／ＢＳ
2007,Ｊ１,第５節第２日,04/08(日),16:03,千葉,4-0,横浜FC,フクアリ,"15,584",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第５節第２日,04/08(日),16:03,清水,2-0,大分,日本平,"13,225",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第６節第１日,04/14(土),13:00,大宮,1-0,名古屋,駒場,"6,584",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）
2007,Ｊ１,第６節第１日,04/14(土),14:03,横浜FC,0-1,鹿島,日産ス,"19,367",スカパー！・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）
2007,Ｊ１,第６節第１日,04/14(土),14:04,広島,2-2,甲府,広島ビ,"7,181",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）／ＮＨＫ広島／ＮＨＫ甲府
2007,Ｊ１,第６節第１日,04/14(土),15:01,神戸,2-1,千葉,ホムスタ,"10,983",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2007,Ｊ１,第６節第１日,04/14(土),15:04,新潟,2-1,Ｇ大阪,東北電ス,"32,686",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！）（録）／ＢＳ
2007,Ｊ１,第６節第１日,04/14(土),16:00,磐田,1-0,横浜FM,ヤマハ,"11,864",スカパー！（パーフェクト　チョイス）／ｅ２（スカチャン！ＨＶ）
2007,Ｊ１,第６節第２日,04/15(日),15:00,川崎Ｆ,2-1,清水,等々力,"21,208",スカパー！・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2007,Ｊ１,第６節第２日,04/15(日),15:05,柏,0-2,浦和,国立,"35,013",スカパー！・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ
