年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1994,Ｊ１ サントリー,第１節第１日,03/12(土),14:33,広島,2-0,名古屋,広島ビ,"11,503",
1994,Ｊ１ サントリー,第１節第１日,03/12(土),14:59,清水,1-0,横浜Ｆ,日本平,"10,071",
1994,Ｊ１ サントリー,第１節第１日,03/12(土),15:00,市原,5-1,Ｇ大阪,市原,"10,044",
1994,Ｊ１ サントリー,第１節第１日,03/12(土),15:02,横浜M,2-0,浦和,三ツ沢,"13,991",
1994,Ｊ１ サントリー,第１節第１日,03/12(土),15:04,鹿島,1-0,磐田,カシマ,"13,990",
1994,Ｊ１ サントリー,第１節第１日,03/12(土),19:04,Ｖ川崎,5-1,平塚,国立,"50,843",
1994,Ｊ１ サントリー,第２節第１日,03/16(水),19:00,浦和,0-2,清水,駒場,"9,290",
1994,Ｊ１ サントリー,第２節第１日,03/16(水),19:00,Ｇ大阪,1-2,広島,万博,"18,737",
1994,Ｊ１ サントリー,第２節第１日,03/16(水),19:01,磐田,1-0,名古屋,磐田,"13,529",
1994,Ｊ１ サントリー,第２節第１日,03/16(水),19:02,平塚,1-0,横浜M,平塚,"16,131",
1994,Ｊ１ サントリー,第２節第１日,03/16(水),19:04,鹿島,2-1,Ｖ川崎,カシマ,"14,181",
1994,Ｊ１ サントリー,第２節第１日,03/16(水),19:04,横浜Ｆ,4-1,市原,三ツ沢,"13,028",
1994,Ｊ１ サントリー,第３節第１日,03/19(土),15:01,市原,3-2,浦和,市原,"9,837",
1994,Ｊ１ サントリー,第３節第１日,03/19(土),15:01,横浜M,0-1,鹿島,三ツ沢,"14,055",
1994,Ｊ１ サントリー,第３節第１日,03/19(土),15:02,清水,4-1,平塚,日本平,"10,285",
1994,Ｊ１ サントリー,第３節第１日,03/19(土),15:02,名古屋,0-2,Ｇ大阪,瑞穂球,"11,519",
1994,Ｊ１ サントリー,第３節第１日,03/19(土),15:02,広島,2-1,横浜Ｆ,広島ス,"11,387",
1994,Ｊ１ サントリー,第３節第１日,03/19(土),19:03,Ｖ川崎,3-2,磐田,国立,"54,657",
1994,Ｊ１ サントリー,第４節第１日,03/23(水),18:59,磐田,0-2,Ｇ大阪,草薙陸,"12,177",
1994,Ｊ１ サントリー,第４節第１日,03/23(水),19:02,浦和,0-1,広島,駒場,"7,854",
1994,Ｊ１ サントリー,第４節第１日,03/23(水),19:03,鹿島,3-2,清水,カシマ,"13,808",
1994,Ｊ１ サントリー,第４節第１日,03/23(水),19:03,横浜Ｆ,1-0,名古屋,三ツ沢,"10,624",
1994,Ｊ１ サントリー,第４節第１日,03/23(水),19:03,平塚,2-3,市原,平塚,"10,797",
1994,Ｊ１ サントリー,第４節第１日,03/23(水),19:05,Ｖ川崎,1-2,横浜M,国立,"54,405",
1994,Ｊ１ サントリー,第５節第１日,03/26(土),15:01,横浜M,2-3,磐田,三ツ沢,"14,215",
1994,Ｊ１ サントリー,第５節第１日,03/26(土),15:03,市原,2-3,鹿島,国立,"52,612",
1994,Ｊ１ サントリー,第５節第１日,03/26(土),15:03,名古屋,7-2,浦和,瑞穂球,"11,488",
1994,Ｊ１ サントリー,第５節第１日,03/26(土),15:03,広島,4-2,平塚,広島ビ,"12,041",
1994,Ｊ１ サントリー,第５節第１日,03/26(土),16:04,Ｇ大阪,1-3,横浜Ｆ,万博,"20,854",
1994,Ｊ１ サントリー,第５節第１日,03/26(土),19:04,清水,2-1,Ｖ川崎,草薙陸,"18,239",
1994,Ｊ１ サントリー,第６節第１日,04/02(土),14:00,磐田,1-2,横浜Ｆ,磐田,"15,268",
1994,Ｊ１ サントリー,第６節第１日,04/02(土),15:01,浦和,2-1,Ｇ大阪,駒場,"9,157",
1994,Ｊ１ サントリー,第６節第１日,04/02(土),15:01,Ｖ川崎,3-0,市原,博多陸,"27,475",
