年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2003,Ｊ１ １ｓｔ,第１節第１日,03/21(金・祝),14:04,磐田,2-4,横浜FM,静岡,"32,930",ＢＳ２／ＢＳハイビジョン／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第１節第２日,03/22(土),15:04,市原,2-1,東京Ｖ,市原,"5,439",Ｊスカイスポーツ／千葉テレビ（録）
2003,Ｊ１ １ｓｔ,第１節第２日,03/22(土),15:35,鹿島,3-1,浦和,カシマ,"36,330",ＴＢＳ（単）
2003,Ｊ１ １ｓｔ,第１節第２日,03/22(土),16:04,Ｆ東京,2-1,柏,味スタ,"23,172",ＢＳ－ｉ／東京メトロポリタンテレビ（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第１節第２日,03/22(土),16:05,Ｃ大阪,0-1,神戸,長居,"19,006",ＢＳ２（録）／ＮＨＫ大阪（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第１節第２日,03/22(土),19:05,名古屋,2-2,清水,瑞穂陸,"15,548",ＢＳ／ＮＨＫ名古屋（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第１節第３日,03/23(日),14:05,京都,1-2,Ｇ大阪,西京極,"14,464",スカイパーフェクＴＶ！／ＫＢＳ京都（録）／ＢＳ－ｉ（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第１節第３日,03/23(日),15:04,仙台,1-0,大分,仙台,"19,174",ＢＳ／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第２節第１日,04/05(土),14:05,清水,4-5,Ｃ大阪,草薙陸,"10,445",テレビ静岡／Ｊスカイスポーツ
2003,Ｊ１ １ｓｔ,第２節第１日,04/05(土),15:02,東京Ｖ,2-1,Ｆ東京,味スタ,"13,222",東京メトロポリタンテレビ／スカイパーフェクＴＶ！／日本テレビ（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第２節第１日,04/05(土),15:04,大分,0-4,市原,大分ス,"14,783",ＢＳ／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第２節第１日,04/05(土),15:05,横浜FM,1-1,仙台,横浜国,"17,153",ＴＢＳ（単）／東北放送／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第２節第１日,04/05(土),16:04,Ｇ大阪,1-1,磐田,万博,"15,459",静岡放送／ＢＳ－ｉ
2003,Ｊ１ １ｓｔ,第２節第１日,04/05(土),19:05,柏,1-2,鹿島,柏の葉,"11,070",ＢＳ／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第２節第２日,04/06(日),14:03,浦和,0-0,名古屋,駒場,"19,430",テレビ埼玉／ＢＳ－ｉ／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第２節第２日,04/06(日),15:34,神戸,0-2,京都,神戸ウイ,"17,246",ＢＳ／ＮＨＫ大阪（録）／サンテレビ（録）／ＫＢＳ京都（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第３節第１日,04/12(土),15:02,大分,3-2,Ｇ大阪,大分ス,"17,051",スカイパーフェクＴＶ！／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第３節第１日,04/12(土),15:04,Ｃ大阪,0-0,Ｆ東京,長居,"9,109",Ｊスカイスポーツ
2003,Ｊ１ １ｓｔ,第３節第１日,04/12(土),15:05,東京Ｖ,0-3,横浜FM,味スタ,"16,828",ＢＳ／日本テレビ（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第３節第１日,04/12(土),15:33,磐田,1-0,浦和,磐田,"13,822",ＮＨＫ総合／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第３節第１日,04/12(土),16:04,市原,0-3,神戸,市原,"3,452",ＢＳ－ｉ／千葉テレビ（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第３節第１日,04/12(土),19:04,京都,0-1,柏,鴨池,"8,262",ＢＳ／ＫＢＳ京都（録）／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第３節第２日,04/13(日),13:04,仙台,3-1,清水,仙台,"19,134",東北放送／静岡放送／ＢＳ－ｉ／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第３節第２日,04/13(日),15:04,名古屋,1-0,鹿島,豊田ス,"23,429",ＢＳ／Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第４節第１日,04/19(土),14:01,神戸,1-2,仙台,神戸ウイ,"6,325",Ｊスカイスポーツ（録）
2003,Ｊ１ １ｓｔ,第４節第１日,04/19(土),15:03,Ｇ大阪,3-3,市原,万博,"4,828",ＮＨＫ大阪／スカイパーフェクＴＶ！
2003,Ｊ１ １ｓｔ,第４節第１日,04/19(土),15:04,浦和,2-0,京都,駒場,"18,335",Ｊスカイスポーツ／テレビ埼玉（録）／ＫＢＳ京都（録）
