年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2009,Ｊ１,第１節第１日,03/07(土),13:04,Ｆ東京,1-4,新潟,味スタ,"27,568",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2009,Ｊ１,第１節第１日,03/07(土),13:05,横浜FM,2-4,広島,日産ス,"23,601",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
2009,Ｊ１,第１節第１日,03/07(土),14:03,名古屋,3-2,大分,豊田ス,"25,395",スカパースカチャン／ｅ２スカチャン／ＮＨＫ名古屋／ＮＨＫ大分
2009,Ｊ１,第１節第１日,03/07(土),15:03,千葉,0-3,Ｇ大阪,フクアリ,"17,916",スカパースカチャン／ｅ２スカチャン／ＢＳ
2009,Ｊ１,第１節第１日,03/07(土),16:03,川崎Ｆ,1-1,柏,等々力,"17,841",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
2009,Ｊ１,第１節第１日,03/07(土),16:03,磐田,2-6,山形,ヤマハ,"12,141",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2009,Ｊ１,第１節第１日,03/07(土),16:04,鹿島,2-0,浦和,カシマ,"37,878",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＮＨＫ総合
2009,Ｊ１,第１節第２日,03/08(日),13:00,大宮,0-0,清水,ＮＡＣＫ,"11,542",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／テレ玉（録）
2009,Ｊ１,第１節第２日,03/08(日),14:04,京都,1-0,神戸,西京極,"16,919",スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／ＫＢＳ京都（録）
2009,Ｊ１,第２節第１日,03/14(土),13:04,大分,1-0,京都,九石ド,"16,841",スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2009,Ｊ１,第２節第１日,03/14(土),14:02,浦和,3-1,Ｆ東京,埼玉,"50,802",スカパー・ｅ２（ＴＢＳチャンネル）／ＴＢＳ（単）／テレ玉（録）
2009,Ｊ１,第２節第１日,03/14(土),14:04,神戸,2-1,川崎Ｆ,ホムスタ,"15,195",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ／毎日放送（録）
2009,Ｊ１,第２節第１日,03/14(土),15:04,柏,1-1,千葉,柏,"8,723",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2009,Ｊ１,第２節第１日,03/14(土),15:04,清水,0-0,横浜FM,アウスタ,"19,172",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／テレビ静岡
2009,Ｊ１,第２節第１日,03/14(土),16:00,Ｇ大阪,4-1,磐田,万博,"16,128",スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ大阪
2009,Ｊ１,第２節第１日,03/14(土),16:04,山形,0-0,名古屋,ＮＤスタ,"12,370",スカパースカチャン／ｅ２スカチャン／ＮＨＫ総合
2009,Ｊ１,第２節第２日,03/15(日),14:03,新潟,2-1,鹿島,東北電ス,"37,808",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2009,Ｊ１,第２節第２日,03/15(日),14:05,広島,2-3,大宮,広島ビ,"20,312",スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／ＮＨＫ広島
2009,Ｊ１,第３節第１日,03/21(土),13:03,大宮,1-1,神戸,ＮＡＣＫ,"9,029",スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2009,Ｊ１,第３節第１日,03/21(土),14:03,磐田,1-1,浦和,エコパ,"18,439",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2009,Ｊ１,第３節第１日,03/21(土),14:04,Ｆ東京,1-0,山形,味スタ,"20,179",スカパー・ｅ２（ＴＢＳチャンネル）／ＢＳ－ｉ／ＴＯＫＹＯ　ＭＸ
2009,Ｊ１,第３節第１日,03/21(土),15:04,横浜FM,3-3,柏,日産ス,"18,180",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン／ＢＳ
2009,Ｊ１,第３節第１日,03/21(土),16:00,大分,0-0,新潟,九石ド,"16,708",スカパー・ｅ２（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）
2009,Ｊ１,第３節第２日,03/22(日),13:03,名古屋,3-1,清水,瑞穂陸,"13,074",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
2009,Ｊ１,第３節第２日,03/22(日),13:04,京都,2-1,Ｇ大阪,西京極,"14,085",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ／ＫＢＳ京都（録）
2009,Ｊ１,第３節第２日,03/22(日),16:03,鹿島,2-1,広島,カシマ,"17,492",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャンＨＤ
2009,Ｊ１,第３節第２日,03/22(日),16:03,千葉,1-1,川崎Ｆ,フクアリ,"14,544",スカパー（スカチャンＨＤ、スカチャン）／ｅ２スカチャン
