年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2012,Ｊ１,第１節第１日,03/10(土),14:04,札幌,0-0,磐田,札幌ド,"25,353",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌
2012,Ｊ１,第１節第１日,03/10(土),14:04,仙台,1-0,鹿島,ユアスタ,"18,250",スカパー／ｅ２／スカパー光／ＮＨＫ総合
2012,Ｊ１,第１節第１日,03/10(土),14:04,名古屋,1-0,清水,豊田ス,"24,316",スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋
2012,Ｊ１,第１節第１日,03/10(土),14:04,Ｇ大阪,2-3,神戸,万博,"17,066",スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪
2012,Ｊ１,第１節第１日,03/10(土),14:05,鳥栖,0-0,Ｃ大阪,ベアスタ,"11,283",スカパー／ｅ２／スカパー光／ＮＨＫ佐賀
2012,Ｊ１,第１節第１日,03/10(土),14:06,広島,1-0,浦和,広島ビ,"29,603",スカパー／ｅ２／スカパー光／ＮＨＫ広島
2012,Ｊ１,第１節第１日,03/10(土),17:05,川崎Ｆ,1-0,新潟,等々力,"18,920",スカパー／ｅ２／スカパー光
2012,Ｊ１,第１節第１日,03/10(土),19:04,大宮,0-1,Ｆ東京,ＮＡＣＫ,"11,437",スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
2012,Ｊ１,第１節第２日,03/11(日),14:04,柏,3-3,横浜FM,柏,"13,082",スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
2012,Ｊ１,第２節第１日,03/17(土),14:03,横浜FM,0-2,仙台,日産ス,"19,488",スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
2012,Ｊ１,第２節第１日,03/17(土),14:03,新潟,1-2,大宮,東北電ス,"26,294",スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／新潟総合テレビ
2012,Ｊ１,第２節第１日,03/17(土),14:04,鹿島,0-1,川崎Ｆ,カシマ,"19,010",スカパー／ｅ２／スカパー光／ＮＨＫ水戸
