年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:00,横浜Ｆ,3-1,福岡,三ツ沢,"8,019",
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:01,Ｇ大阪,4-1,平塚,万博,"6,205",
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:03,名古屋,2-3,Ｃ大阪,瑞穂陸,"17,480",
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:04,柏,0-1,清水,国立,"25,027",
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:05,鹿島,5-2,神戸,カシマ,"16,255",
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),15:34,磐田,2-1,広島,磐田,"9,545",
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),17:03,浦和,2-3,横浜M,駒場,"20,098",
1997,Ｊ１ １ｓｔ,第１節第１日,04/12(土),19:04,Ｖ川崎,0-2,市原,等々力,"12,169",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:00,Ｃ大阪,0-2,横浜Ｆ,長居,"8,056",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:00,広島,2-3,柏,広島ビ,"4,156",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:00,福岡,0-1,磐田,博多球,"7,119",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:01,横浜M,0-4,Ｇ大阪,三ツ沢,"6,503",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:03,市原,2-4,京都,市原,"3,057",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:03,平塚,0-2,Ｖ川崎,平塚,"7,503",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:03,清水,0-1,浦和,日本平,"7,118",
1997,Ｊ１ １ｓｔ,第２節第１日,04/16(水),19:05,神戸,2-1,名古屋,神戸ユ,"5,959",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),14:00,Ｇ大阪,4-1,清水,万博,"6,604",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),14:03,磐田,1-2,Ｃ大阪,磐田,"7,186",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),15:02,京都,0-2,平塚,西京極,"7,193",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),15:03,浦和,0-1,広島,国立,"38,707",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),15:03,Ｖ川崎,2-2(PK3-4),横浜M,等々力,"13,568",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),16:04,柏,2-1,福岡,柏,"5,194",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),19:03,名古屋,0-2,鹿島,瑞穂陸,"20,425",
1997,Ｊ１ １ｓｔ,第３節第１日,04/19(土),19:04,横浜Ｆ,3-1,神戸,三ツ沢,"7,251",
1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:00,鹿島,1-0,横浜Ｆ,カシマ,"15,336",
1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:00,神戸,1-2,磐田,神戸ユ,"3,670",
1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:00,福岡,0-3,浦和,博多球,"5,317",
1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:01,Ｃ大阪,2-2(PK5-4),柏,長居,"6,526",
1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:03,広島,2-0,Ｇ大阪,広島ビ,"5,576",
1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:04,横浜M,3-1,京都,三ツ沢,"4,541",
1997,Ｊ１ １ｓｔ,第４節第１日,04/23(水),19:04,清水,2-1,Ｖ川崎,日本平,"9,253",
