年度,大会,節,試合日,K/O時刻,ホーム,スコア,アウェイ,スタジアム,入場者数,インターネット中継・TV放送
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),14:03,磐田,0-1,名古屋,ヤマハ,"14,333",スカパー！／スカパー！プレミアムサービス／ＮＨＫ静岡／ＮＨＫ名古屋／ＮＨＫ岐阜／ＮＨＫ津
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),14:04,広島,0-1,川崎Ｆ,Ｅスタ,"18,120",スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),14:05,鳥栖,2-1,福岡,ベアスタ,"19,762",スカパー！／スカパー！プレミアムサービス／ＮＨＫ佐賀／ＮＨＫ福岡
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),15:03,柏,1-2,浦和,柏,"13,416",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),15:03,湘南,1-2,新潟,ＢＭＷス,"14,058",スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),15:05,神戸,0-2,甲府,ノエスタ,"23,862",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),18:35,横浜FM,0-1,仙台,日産ス,"24,898",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第１節第１日,02/27(土),19:04,FC東京,0-1,大宮,味スタ,"25,776",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１／ＴＯＫＹＯ　ＭＸ
2016,Ｊ１ １ｓｔ,第１節第２日,02/28(日),14:09,Ｇ大阪,0-1,鹿島,吹田Ｓ,"32,463",スカパー！／スカパー！プレミアムサービス／ＴＢＳ
2016,Ｊ１ １ｓｔ,第２節第１日,03/05(土),15:03,川崎Ｆ,4-4,湘南,等々力,"21,871",スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ
2016,Ｊ１ １ｓｔ,第２節第１日,03/05(土),15:04,鹿島,1-0,鳥栖,カシマ,"19,696",スカパー！／スカパー！プレミアムサービス／ＮＨＫ水戸
2016,Ｊ１ １ｓｔ,第２節第１日,03/05(土),16:04,大宮,2-0,柏,ＮＡＣＫ,"12,696",スカパー！／スカパー！プレミアムサービス／テレ玉
2016,Ｊ１ １ｓｔ,第２節第１日,03/05(土),18:30,神戸,6-3,新潟,ノエスタ,"12,487",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第２節第１日,03/05(土),19:05,福岡,1-1,横浜FM,レベスタ,"16,968",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
2016,Ｊ１ １ｓｔ,第２節第２日,03/06(日),13:05,甲府,0-1,Ｇ大阪,中銀スタ,"14,103",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第２節第２日,03/06(日),14:04,浦和,1-2,磐田,埼玉,"43,826",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第２節第２日,03/06(日),15:05,名古屋,1-1,広島,豊田ス,"27,061",スカパー！／スカパー！プレミアムサービス／ＮＨＫ名古屋／ＮＨＫ広島
2016,Ｊ１ １ｓｔ,第２節第２日,03/06(日),15:33,仙台,1-2,FC東京,ユアスタ,"16,918",スカパー！／スカパー！プレミアムサービス／ＮＨＫ仙台
2016,Ｊ１ １ｓｔ,第３節第１日,03/11(金),19:04,FC東京,1-0,神戸,味スタ,"11,488",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第３節第１日,03/11(金),19:04,Ｇ大阪,2-1,大宮,吹田Ｓ,"20,535",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第３節第２日,03/12(土),13:04,広島,2-2,湘南,Ｅスタ,"13,460",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第３節第２日,03/12(土),14:02,仙台,1-0,鹿島,ユアスタ,"15,826",スカパー！／スカパー！プレミアムサービス／ＮＨＫ総合
2016,Ｊ１ １ｓｔ,第３節第２日,03/12(土),14:04,浦和,2-0,福岡,埼玉,"27,946",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第３節第２日,03/12(土),15:04,新潟,1-2,横浜FM,デンカＳ,"20,771",スカパー！／スカパー！プレミアムサービス／ＢＳ－ＴＢＳ／テレビ新潟
2016,Ｊ１ １ｓｔ,第３節第２日,03/12(土),16:04,鳥栖,1-1,甲府,ベアスタ,"8,697",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第３節第２日,03/12(土),18:30,柏,2-2,磐田,柏,"10,280",スカパー！／スカパー！プレミアムサービス
2016,Ｊ１ １ｓｔ,第３節第２日,03/12(土),19:04,川崎Ｆ,3-2,名古屋,等々力,"16,513",スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
